GeneName	Description	Process
TMEM173	developmental stage:Expressed throughout the B-cell lineage prior to the plasma cell stage but occurs at highest levels in mature B-cells. Highly expressed in cells representing mature stages of B-cells but weakly expressed in pre-B cells, immature B cells, and memory B-cell stages. Not detected in plasma cellsfunction:Acts as a facilitator of innate immune signaling. Able to activate both NF-kappa-B and IRF3 transcription pathways to induce expression of type I interferon (IFN-alpha and IFN-beta) and exert a potent anti-viral state following expression. May be involved in translocon function, the translocon possibly being able to influence the induction of type I interferons. Also involved in transduction of apoptotic signals via its association with the major histocompatibility complex class II (MHC-II). Mediates death signaling via activation of the extracellular signal-regulated kinase (ERK) pathwaymiscellaneous:Was named MPYS by PubMed:18559423 because the protein sequence begins by Met-Pro-Tyr-Ser residuesPTM:Phosphorylated on tyrosine residues upon MHC-II aggregationsequence caution:Translated as Leusubunit:Interacts with DDX58/RIG-I, MAVS/VISA and SSR2 (By similarity). Associates with the MHC-II complextissue specificity:Present in spleen and thymus tissue. Also present in dendritic cells (at protein level)	Apoptosis
XIAP	Apoptotic suppressor. Has E3 ubiquitin-protein ligase activity. Mediates the proteasomal degradation of target proteins, such as caspase-3, SMAC or AIFM1. Inhibitor of caspase-3, -7 and -9. Mediates activation of MAP3K7/TAK1, leading to the activation of NF-kappa-B (By similarity)	Apoptosis
LETMD1	Involved in tumorigenesis and may function as a negative regulator of the TP53/p53	Apoptosis
GHITM	induction:By growth hormonesimilarity:Belongs to the BI1 family	Apoptosis
MTCH2	The substrate transported is not yet known. Induces mitochondrial depolarization (By similarity)	Apoptosis
AIFM1	Probable oxidoreductase that acts as a caspase- independent mitochondrial effector of apoptotic cell death. Extramitochondrial AIF induces nuclear chromatin condensation and large scale DNA fragmentation (in vitro). Binds to DNA in a sequence-independent manner	Apoptosis
ALKBH7	similarity:Belongs to the alkB family	Apoptosis
TRAP1	function:Chaperone that expresses an ATPase activitysimilarity:Belongs to the heat shock protein 90 family	Apoptosis
TRIAP1	Mediates cell survival by inhibiting activation of caspase-9 which prevents induction of apoptosis (By similarity)	Apoptosis
GFER	FAD-dependent sulfhydryl oxidase that catalyzes disulfide bond formation (By similarity)	Apoptosis
MTCH1	Potential mitochondrial transporter. May play a role in apoptosis (By similarity)	Apoptosis
APOPT1	similarity:Belongs to the UPF0671 family	Apoptosis
DIABLO	Promotes apoptosis by activating caspases in the cytochrome c/Apaf-1/caspase-9 pathway. Acts by opposing the inhibitory activity of inhibitor of apoptosis proteins (IAP)	Apoptosis
FAM162A	similarity:Belongs to the UPF0389 family	Apoptosis
PRELID1	May be important for the development of vital and immunocompetent organs (By similarity)	Apoptosis
PARL	catalytic activity:Cleaves type-1 transmembrane domains using a catalytic dyad composed of serine and histidine that are contributed by different transmembrane domainsdisruption phenotype:Mice develop normally until 4 weeks of age. They show subsequent progressive growth retardation, atrophy of muscle, spleen, and thymus as well as severe apoptosis of T and B lymphocytes leading to premature death between 8-12 weeks of age. Mouse embryonic fibroblasts lacking Parl show high susceptibility to intrinsic apoptotic signals. This defect can be complemented by Parl or a soluble form of Opa1function:Required for the control of apoptosis during postnatal growth. Essential for proteolytic processing of an antiapoptotic form of OPA1 which prevents the release of mitochondrial cytochrome c in response to intrinsic apoptoptic signalsPTM:P-beta is proteolytically processed (beta-cleavage) in a PARL-dependent mannersimilarity:Belongs to the peptidase S54 familysubcellular location:Translocated into the nucleus by an unknown mechanismsubunit:Interacts with PSEN1 and PSEN2 (By similarity). Binds OPA1	Apoptosis
HTRA2	Serine protease that shows proteolytic activity against a nonspecific substrate beta-casein. Promotes or induces cell death either by direct binding to and inhibition of BIRC proteins (also called inhibitor of apoptosis proteins, IAPs), leading to an increase in caspase activity, or by a BIRC inhibition-independent, caspase-independent and serine protease activity-dependent mechanism	Apoptosis
BAX	similarity: The protein encoded by this gene belongs to the BCL2 protein family. BCL2 family members form hetero- or homodimers and act as anti- or pro-apoptotic regulators that are involved in a wide variety of cellular activities. This protein forms a heterodimer with BCL2, and functions as an apoptotic activator. This protein is reported to interact with, and increase the opening of, the mitochondrial voltage-dependent anion channel (VDAC), which leads to the loss in membrane potential and the release of cytochrome c. The expression of this gene is regulated by the tumor suppressor P53 and has been shown to be involved in P53-mediated apoptosis. Multiple alternatively spliced transcript variants, which encode different isoforms, have been reported for this gene. [provided by RefSeq, Jul 2008],	Apoptosis
BCL2L13	May promote the activation of caspase-3 and apoptosis	Apoptosis
TSPO	Responsible for the manifestation of peripheral-type benzodiazepine recognition sites and is most likely to comprise binding domains for benzodiazepines and isoquinoline carboxamides. May play a role in the transport of porphyrins and heme (By similarity). Plays a role in the transport of cholesterol across mitochondrial membranes in steroidogenic cells (By similarity)	Apoptosis
BNIP3	function:Apoptosis-inducing protein that, which can overcome BCL2 suppression. May play a role in repartitioning calcium between the two major intracellular calcium stores in association with BCL2similarity:Belongs to the NIP3 familysubunit:Homodimer. Binds to BCL2. Interacts with BNIP3L	Apoptosis
BAK1	In the presence of an appropriate stimulus, accelerates programmed cell death by binding to, and antagonizing the a repressor Bcl-2 or its adenovirus homolog E1B 19k protein (By similarity)	Apoptosis
PMAIP1	Promotes activation of caspases and apoptosis. Promotes mitochondrial membrane changes and efflux of apoptogenic proteins from the mitochondria. Contributes to p53-dependent apoptosis after radiation exposure. Promotes proteasomal degradation of MCL1. Competes with BIM/BCL2L11 for binding to MCL1 and can displace BIM/BCL2L11 from its binding site on MCL1 (By similarity). Competes with BAK1 for binding to MCL1 and can displace BAK1 from its binding site on MCL1	Apoptosis
AIFM2	Oxidoreductase, which may play a role in mediating a TP53/p53-dependent apoptosis response. Probable oxidoreductase that acts as a caspase-independent mitochondrial effector of apoptotic cell death (By similarity). May contribute to genotoxin- induced growth arrest	Apoptosis
BNIP3L	function:Induces apoptosis. Interacts with viral and cellular anti-apoptosis proteins. Can overcome the suppressors BCL-2 and BCL-XL, although high levels of BCL-XL expression will inhibit apoptosis. May function as a tumor suppressor. Inhibits apoptosis induced by BNIP3PTM:Undergoes progressive proteolysis to an 11 kDa C-terminal fragment, which is blocked by the proteasome inhibitor lactacystinsimilarity:Belongs to the NIP3 familysubunit:Self-associates. Interacts with BNIP3 and STEAP3	Apoptosis
AIFM3	Induces apoptosis through a caspase dependent pathway. Reduces mitochondrial membrane potential (By similarity)	Apoptosis
BID	Induces caspases and apoptosis. Counters the protective effect of Bcl-2. The major proteolytic product p15 BID allows the release of cytochrome c	Apoptosis
BCL2L1	Potent inhibitor of cell death. Isoform Bcl-X(L) anti- apoptotic activity is inhibited by association with SIVA isoform 1. Inhibits activation of caspases (By similarity). Appears to regulate cell death by binding and blocking the voltage-dependent anion channnel (VDAC), thus preventing the release of the caspase activator, cytochrome c, from the mitochondrial membrane. The Bcl- X(S) isoform promotes apoptosis	Apoptosis
ARMC10	May play a role in cell survival and cell growth. May suppress the transcriptional activity of p53/TP53 (By similarity)	Apoptosis
CASP8	Most upstream protease of the activation cascade of caspases responsible for the TNFRSF6/FAS mediated and TNFRSF1A induced cell death. Binding to the adapter molecule FADD recruits it to either receptor. The resulting aggregate called death- inducing signaling complex (DISC) performs CASP8 proteolytic activation. The active dimeric enzyme is then liberated from the DISC and free to activate downstream apoptotic proteases. Proteolytic fragments of the N-terminal propeptide (termed CAP3, CAP5 and CAP6) are likely retained in the DISC. Cleaves and activates CASP3, CASP4, CASP6, CASP7, CASP9 and CASP10. May participate in the GZMB apoptotic pathways. Cleaves ADPRT. Hydrolyzes the small-molecule substrate, Ac-Asp-Glu-Val-Asp-|-AMC. Likely target for the cowpox virus CRMA death inhibitory protein	Apoptosis
BCL2L2	Promotes cell survival. Blocks dexamethasone-induced apoptosis. Mediates survival of postmitotic Sertoli cells by suppressing death-promoting activity of BAX	Apoptosis
BCL2	similarity: This gene encodes an integral outer mitochondrial membrane protein that blocks the apoptotic death of some cells such as lymphocytes. Constitutive expression of BCL2, such as in the case of translocation of BCL2 to Ig heavy chain locus, is thought to be the cause of follicular lymphoma. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016],	Apoptosis
BAD	domain:Intact BH3 motif is required by BIK, BID, BAK, BAD and BAX for their pro-apoptotic activity and for their interaction with anti-apoptotic members of the Bcl-2 familyfunction:Promotes cell death. Successfully competes for the binding to Bcl-X(L), Bcl-2 and Bcl-W, thereby affecting the level of heterodimerization of these proteins with BAX. Can reverse the death repressor activity of Bcl-X(L), but not that of Bcl-2. Appears to act as a link between growth factor receptor signaling and the apoptotic pathwaysPTM:Phosphorylated on one or more of Ser-112, Ser-136, Ser-155 and Ser-170 in response to survival stimuli, which blocks its pro-apoptotic activity. Phosphorylation on Ser-136 or Ser-112 promotes heterodimerization with 14-3-3 proteins. This interaction then facilitates the phosphorylation at Ser-155, a site within the BH3 motif, leading to the release of Bcl-X(L) and the promotion of cell survival. Ser-136 is the major site of AKT/PKB phosphorylation, Ser-155 the major site of protein kinase A (CAPK) phosphorylationsimilarity:Belongs to the Bcl-2 familysubcellular location:Upon phosphorylation, locates to the cytoplasmsubunit:Forms heterodimers with the anti-apoptotic proteins, Bcl-X(L), Bcl-2 and Bcl-W. Also binds protein S100A10 (By similarity). The Ser-112/Ser-136 phosphorylated form binds 14-3-3 proteins	Apoptosis
CLIC4	Can insert into membranes and form poorly selective ion channels that may also transport chloride ions. Channel activity depends on the pH. Membrane insertion seems to be redox-regulated and may occur only under oxydizing conditions. Promotes cell- surface expression of HRH3 (By similarity). May play a role in angiogenesis	Apoptosis
STAR	Plays a key role in steroid hormone synthesis by enhancing the metabolism of cholesterol into pregnenolone. Transporter that binds to and transport cholesterol through the intermembrane space of the mitochondrion (Probable)	Bile Acid Synthesis
AMACR	Racemization of 2-methyl-branched fatty acid CoA esters. Responsible for the conversion of pristanoyl-CoA and C27-bile acyl-CoAs to their (S)-stereoisomers	Bile Acid Synthesis
ITPR1	alternative products:There is a combination of two alternatively spliced domains at site SI and site SII (A, B and C). Experimental confirmation may be lacking for some isoforms,domain:The receptor contains a calcium channel in its C-terminal extremity. Its large N-terminal cytoplasmic region has the ligand-binding site in the N-terminus and modulatory sites in the middle portion immediately upstream of the channel regionfunction:Intracellular channel that mediates calcium release from the endoplasmic reticulum following stimulation by inositol 1,4,5-trisphosphatemiscellaneous:Calcium appears to inhibit ligand binding to the receptor, most probably by interacting with a distinct calcium-binding protein which then inhibits the receptorPTM:Phosphorylated by cAMP kinase. Phosphorylation prevents the ligand-induced opening of the calcium channelsPTM:Phosphorylated on tyrosine residuessimilarity:Belongs to the InsP3 receptor familysimilarity:Contains 5 MIR domainssubunit:Homotetramer. Interacts with TRPC4. The PPXXF motif binds HOM1, HOM2 and HOM3. Interacts with RYR1, RYR2, ITPR1, SHANK1 and SHANK3. Part of cGMP kinase signaling complex at least composed of ACTA2/alpha-actin, CNN1/calponin H1, PLN/phospholamban, PRKG1 and ITPR1 (By similarity). Interacts with ERP44 in a pH-, redox state-and calcium-dependent manner which results in the inhibition the calcium channel activity. The strength of this interaction inversely correlates with calcium concentration. Interacts with AHCYL1 and MRVI1	Calcium Signaling & Transport
